Country Name,Country Code,Series Name,Series Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,30.36940575,32.4504509,34.52877045,36.60369492,42.6,40.74053955,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74,79.3,79,80.4,83.5,85.4,86.3,85.1,89.5,..
Ghana,GHA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.581883278,3.694492606,5.840761897,8.028754036,13.28118097,12.53398511,14.9,17.4,19.8,24,24.7,7.9,31.4,32.4,36.8,37.9,55.4,42,23.6,50.8,64,57,66.6,65.3,68.3,70,73.1,74,71.6,77.8,..
Ghana,GHA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,74.66521454,75.33365631,75.98945618,76.6294632,82.4,77.85112762,80.5,78.9,79.5,76.9,80.7,78.4,80.7,82.7,84.8,84.2,72.8,85,86.8,88.5,90.8,88.4,89.8,90,89.9,93.8,94.6,95.2,95,97.5,..
Ghana,GHA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,327.6018217,341.800919,354.7409204,379.7914333,265.5709781,348.3575654,320.2104263,325.2827667,298.8510804,212.3333164,210.9903569,235.90791,284.8003503,234.5797543,253.1139657,254.9203899,272.1884734,305.8046786,336.6465841,351.9656785,341.9206727,306.2091991,357.7031811,408.8528148,444.388812,469.7855286,503.5466689,542.2116806,552.5028212,..,..
Ghana,GHA,"Population, total",SP.POP.TOTL,16993190,17399017,17810181,18238958,18688036,19149864,19637087,20167069,20729388,21296705,21868298,22449438,23040702,23642279,24249946,24862664,25474995,26095088,26734268,27386193,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
